catalogVersion	scenarioId	capabilityId	domain	name	tier	runtime	architecture	authorityLane	persistenceLane	setup	action	expected	refusal	evidenceFields	referenceTraceStatus	referenceTraceState	referenceTraceId	referenceTraceSource	repoExecutionStatus	repoAutomationStatus	repoEvidenceRefs	testKinds	architectureLegs	externalGates	claimBoundary	notes	repoEvidenceState	repoEvidenceReason
2.0.0-phase0.2	V2-FND-001-S001	DOC-01	document	Open SDK form and save without edit	A	modern	x64	SourceFirst	NoMutation	SDK project with Form1 designer and neutral resx	Open designer then invoke save without modifying the document	No source or resource diff and clean dirty state	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260821T123101Z-S001	docs/v2/reference-traces/VS18.7.11911.148-20260821T123101Z/V2-FND-001-S001/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	extension-host	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	Real VS Code Extension Host opens the registered CustomEditor, invokes native save without edit, proves a clean visible tab, and verifies byte-identical source designer and resx artifacts; actual Visual Studio Enterprise 2026 18.7 opens the SDK form, executes Save All without an edit, and preserves the source, Designer, neutral resx, and project hashes exactly.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S002	DOC-01	document	Refuse save after external designer source change	A	modern	arm64	CommandPlanner	NoMutation	Form is open with captured source fingerprint then .Designer.cs changes on disk	Invoke property edit and save	Mutation refuses before write and reports stale source fingerprint	STALE_SOURCE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host;e2e	catalog-arm64;physical-arm64-gated;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE;ARM64_HARDWARE	REPO_AUTOMATED	The real open CustomEditor captures the generated-source baseline then receives an external write; a real geometry edit stays dirty, the registered save callback returns STALE_SOURCE, and the external bytes remain exact; physical ARM64 and Visual Studio reference traces remain external	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S003	DOC-01	roundtrip	Hot exit restores dirty document and undo stack	A	cross-runtime	cross-arch	CommandPlanner	MultiArtifactTransaction	Dirty form with one unsaved control move and one undo unit	Simulate extension host restart and reopen designer	Dirty state and undo unit are restored without reapplying a committed patch	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	extension-host	catalog-cross-arch;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	Real VS Code 1.84.0 and 1.134.0 processes create VS Code-owned backups for one modern and one compiled-net48 dirty CustomEditor, quit through the workbench, restart with the same workspace, explicitly reopen each designer through the workspace-local backup index, and prove exact dirty bytes, native Undo/Redo/final Undo, and unchanged source/Designer disk hashes. Clean, Save, and delayed-backup paths clear stale recovery entries. Actual Visual Studio reference execution remains external.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S004	DOC-01	document	Save As refuses destination collision	A	net48	x64	CommandPlanner	NoMutation	Classic net48 project has existing CopyOfForm1.cs and CopyOfForm1.resx	Invoke Save As to CopyOfForm1	No files are overwritten and collision diagnostic names both existing targets	DESTINATION_EXISTS	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	extension-host;e2e	catalog-x64;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	An open classic v4.8 custom document invokes the registered provider Save As path; source and resx collisions are aggregated before any Designer sidecar write; Visual Studio reference trace remains external	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S005	DOC-02	document	Add new Form to SDK project creates source designer and resx	A	modern	x64	CommandPlanner	GeneratedFilesAtomic	SDK project without Form2 files	Add Windows Form named Form2	Form2.cs Form2.Designer.cs Form2.resx and project state are created atomically	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260823T030759Z-S005	docs/v2/reference-traces/VS18.7.11911.148-20260823T030759Z/V2-FND-001-S005/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	extension-host;e2e	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	Actual Visual Studio Enterprise 2026 18.7 selects the exact modern SDK project through Solution Explorer, resolves Microsoft.CSharp.WindowsForm through Solution2.GetProjectItemTemplate, and creates S005GeneratedForm.cs, its nested Designer source, and nested neutral resx through ProjectItems.AddFromTemplate. The SDK csproj remains byte-identical, the solution rebuilds, and the generated Form opens in the real WinForms Designer. The only auxiliary top-level artifact is the exact Visual Studio per-user csproj.user subtype sidecar; its SHA-256 is archived and every other unexpected delta is forbidden. The real product Explorer Add command independently creates the same required three-artifact graph atomically, leaves the implicit project byte-identical, and opens a clean CustomEditor; forced-failure compensation remains S008.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S006	DOC-02	document	Add UserControl to classic project updates project file	A	net48	x64	CommandPlanner	GeneratedFilesAtomic	Classic csproj without WidgetControl files	Add UserControl named WidgetControl	Exactly two template files are created; classic Compile SubType and Designer DependentUpon relationships are correct; no neutral resx or EmbeddedResource item is added	NONE	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260823T034954Z-S006	docs/v2/reference-traces/VS18.7.11911.148-20260823T034954Z/V2-FND-001-S006/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	Actual Visual Studio Enterprise 2026 18.7 resolves Microsoft.CSharp.WindowsFormsUserControl and adds exactly source plus nested Designer source to the classic v4.8 project, persists one Compile SubType=UserControl and one Designer Compile DependentUpon relationship, adds no neutral resx or EmbeddedResource item, rebuilds, and opens the native designer. The real Explorer Add command now matches that two-file contract, atomically persists the two Compile relationships, leaves the project document clean, and opens the CustomEditor	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S007	DOC-02	safety	Refuse component class creation on unsafe name	A	modern	x64	CommandPlanner	NoMutation	Project root exists and requested item name contains path traversal	Add Component with name ..\Injected	No file is created and diagnostic reports invalid item name	invalidName	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	extension-host;e2e	catalog-x64;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	The real public Explorer Add Component command receives the unsafe traversal name, returns INVALID_NAME, and leaves the target directory entries byte-for-byte unchanged on VS Code 1.84.0 and 1.134.0. Visual Studio reference execution remains external.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S008	DOC-02	document	Add Form collision rolls back partial artifacts	A	cross-runtime	cross-arch	CommandPlanner	GeneratedFilesAtomic	Target folder allows source create but resx write is forced to fail	Add Windows Form named PartialRollback	Any created source files are removed or journaled for compensation and project file is unchanged	applyFailed	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host;e2e	catalog-cross-arch;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	The real Explorer Add orchestration is forced to fail on the third Form artifact after two successful creates; its shared atomic scaffold wrapper removes both partial files and leaves the project byte-identical before returning applyFailed	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S009	DOC-03	document	Refuse nested Form that Visual Studio cannot design	A	modern	x64	ReadOnlyInspector	NoMutation	Project contains partial class Outer.InnerForm split across two files	Open InnerForm designer	Open refuses before render with a nested-type diagnostic and no source Designer or project mutation	NESTED_DESIGNER_UNSUPPORTED	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	PASS	ARCHIVED	VS18.7.11911.148-20260821T140047Z-S009	docs/v2/reference-traces/VS18.7.11911.148-20260821T140047Z/V2-FND-001-S009/manifest.json	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host	catalog-x64;repo-functional	NONE	REPO_AUTOMATED	Actual Visual Studio Enterprise 2026 18.7 displays its fail-closed designer error page because no class in the nested-form file can be designed and leaves both partials byte-identical. The real product CustomEditor now refuses the same nested CLR identity at the mandatory pre-render owner gate, publishes no canvas, and preserves source Designer and project bytes.	MEASURED_SUFFICIENT	NONE
2.0.0-phase0.2	V2-FND-001-S010	DOC-03	document	Resolve co-owned partial designer ownership, or refuse when the owner changes the render	A	modern	x64	ReadOnlyInspector	NoMutation	Two projects include files declaring the same partial Form type	Open designer from the shared source file, once with two modern co-owners and once with a modern/classic pair	Modern-only co-owners resolve to a deterministic ordinal-first owner and render, with every contender still reported; a contender that can select the rendered binary (classic, multi-target or undeclared TFM) refuses with the ambiguous owner list. Neither path mutates	AMBIGUOUS_OWNER	reference_trace_status;reference_trace_state;reference_trace_id;reference_trace_source;repo_execution_status;repo_automation_status;repo_evidence_refs;test_kinds;architecture_legs;external_gates;claim_boundary;scenario_manifest;runtime_architecture;authority_lane;persistence_lane;input_artifacts;action_log;expected_result;refusal_result;source_diff;resource_diff;undo_redo;roundtrip;diagnostics;performance_budget;accessibility_notes;security_notes;repo_evidence_state;repo_evidence_reason	NOT_EXECUTED	NOT_CAPTURED	UNSET	VisualStudioWinFormsDesigner	PASS	AUTOMATED	MEASURED_AT_RUNTIME	unit;extension-host;e2e	catalog-x64;repo-functional	VISUAL_STUDIO_REFERENCE_TRACE	REPO_AUTOMATED	A real shared-source CustomEditor open supplies the two bounded project contenders to the engine gate. With two modern SDK contenders the gate resolves to the ordinal-first project and the form renders — the owner never reaches the renderer on that route, so the pick is inert — while both exact owner paths stay exposed. Rewriting one contender as a classic TargetFrameworkVersion project restores the fail-closed AMBIGUOUS_OWNER refusal before render, because the owner would then select which compiled binary the form is instantiated from. Both halves leave all source and project bytes unchanged	MEASURED_SUFFICIENT	NONE
